x,y,CTne,IT,LE,CT,CTmvp,CTpan,CTpnz,BG
75.0,75.0,0.0005716495215892792,3.352925705257803e-05,0.0007714050589129329,0.000141524025821127,3.496975296002347e-06,0.002445641439408064,0.00335498433560133,0.9926778078079224
75.0,225.0,0.0007702323491685092,3.112333070021123e-05,0.0008166859042830765,0.0001835242728702724,5.430348210211378e-06,0.0031878177542239428,0.003270557615906,0.9917347431182861
75.0,375.0,0.0005919214454479516,0.0001921216753544286,0.003735198173671961,0.00037389848148450255,5.904099907638738e-06,0.0017755671869963408,0.009780503809452057,0.9835448861122131
75.0,525.0,0.0008307331008836627,0.0001334660337306559,0.00490930862724781,0.0004977017524652183,2.1761854441137984e-05,0.0031322475988417864,0.012556220404803753,0.9779186844825745
75.0,675.0,0.0006867133197374642,9.563801722833887e-05,0.003220377955585718,0.0005275740986689925,3.0028844776097685e-05,0.002599801402539015,0.014805165119469166,0.9780346155166626
75.0,825.0,0.0009322369005531073,3.4443375625414774e-05,0.00033576771966181695,0.00018266928964294493,1.0677563295757864e-05,0.0012296370696276426,0.0008969411719590425,0.9963776469230652
75.0,975.0,0.00029195554088801146,8.976295794127509e-05,0.004958373960107565,0.0006519660819321871,3.0381452233996242e-06,0.004631101619452238,0.020212266594171524,0.9691614508628845
75.0,1125.0,0.0003858247073367238,0.00027720772777684033,0.009537918493151665,0.0010236977832391858,7.49329319660319e-06,0.003633458400145173,0.022626174613833427,0.9625081419944763
75.0,1275.0,0.0007942781085148454,0.00010763192403828725,0.0028313365764915943,0.00036401321995072067,2.625789784360677e-05,0.002065155655145645,0.006343728397041559,0.9874676465988159
75.0,1425.0,0.0010172385955229402,7.063806697260588e-05,0.0006833811057731509,0.0001995281782001257,1.2770137800544035e-05,0.0053265877068042755,0.003481074934825301,0.9892087578773499
75.0,1575.0,0.0015147487865760922,0.00012340262765064836,0.0010196069488301873,0.00023760358453728259,4.745989281218499e-05,0.002796097891405225,0.0021945892367511988,0.992066502571106
75.0,1725.0,0.000766627723351121,4.9816506361821666e-05,0.0024159422609955072,0.0002641462779138237,8.863519724400248e-06,0.0017886526184156537,0.004624814726412296,0.9900811314582825
75.0,1875.0,0.0002791270089801401,0.0002614347613416612,0.010091905482113361,0.0007537177298218012,4.501267540035769e-06,0.0025794284883886576,0.029276493936777115,0.9567534923553467
75.0,2025.0,0.0015909604262560606,0.00038333021802827716,0.006920874584466219,0.0005592001252807677,3.611922147683799e-05,0.0022643483243882656,0.01630898378789425,0.9719361662864685
75.0,2175.0,0.0003750676987692714,0.0001517588534625247,0.005059204995632172,0.00046246949932537973,5.501677151187323e-06,0.0026938421651721,0.014844829216599464,0.9764074087142944
75.0,2325.0,0.0011566560715436935,0.0002062984131043777,0.007686231750994921,0.0006012960220687091,1.3903625585953705e-05,0.001648320583626628,0.012425711378455162,0.9762614965438843
75.0,2475.0,0.00043176894541829824,0.00020605676400009543,0.006254100240767002,0.00045960908755660057,7.2309517236135434e-06,0.00272406660951674,0.017032133415341377,0.9728849530220032
75.0,2625.0,0.001100312452763319,3.3875363442348316e-05,0.001092909136787057,0.000205464762984775,6.378858870448312e-06,0.0009772945195436478,0.0056535289622843266,0.9909302592277527
75.0,2775.0,0.0014011800521984696,3.324199133203365e-05,0.0028434954583644867,7.5551237387117e-05,2.8983631636947393e-06,0.0009319080272689462,0.00328149925917387,0.9914303421974182
75.0,2925.0,0.0008200996671803296,0.0005779751227237284,0.005758618004620075,0.0005754969897679985,3.825130988843739e-05,0.004595564678311348,0.016712728887796402,0.9709212183952332
75.0,3075.0,0.0014293284621089697,0.00014813618327025324,0.003565679071471095,0.00028077707975171506,2.030024006671738e-05,0.001147910370491445,0.005138952285051346,0.9882689714431763
75.0,3225.0,0.00031524882069788873,8.319346670759842e-05,0.00325232045724988,0.0004940314101986587,5.1056695156148635e-06,0.002961704507470131,0.013793732039630413,0.9790946841239929
75.0,3375.0,0.0015173135325312614,0.0003535776340868324,0.010425901971757412,0.0006215004250407219,3.667176133603789e-05,0.003230662550777197,0.014891293831169605,0.968923032283783
75.0,3525.0,0.00041843432700261474,0.00012368978059384972,0.0030115924309939146,0.00034156045876443386,3.87389127354254e-06,0.0008199304575100541,0.004249716643244028,0.991031289100647
75.0,3675.0,0.0014725663932040334,9.909185610013083e-05,0.0024201893247663975,0.000504370138514787,7.842209015507251e-06,0.0016073056031018496,0.006858524400740862,0.9870300889015198
75.0,3825.0,0.000717638002242893,1.2365803740976844e-05,0.00046473502879962325,2.2415548301069066e-05,2.3832856186345452e-06,0.0003263028629589826,0.0011887303553521633,0.9972653388977051
75.0,3975.0,0.0005532071809284389,0.00044737252756021917,0.01658053696155548,0.0004411750705912709,5.7518154790159315e-06,0.002456461079418659,0.018405860289931297,0.9611095190048218
75.0,4125.0,0.0005724665243178606,0.00016785835032351315,0.004517219960689545,0.00041846197564154863,7.63506341172615e-06,0.002372254617512226,0.009463813155889511,0.9824802279472351
75.0,4275.0,0.0010375772835686803,0.00031198179931379855,0.01210779044777155,0.0007414010469801724,1.1472108781163115e-05,0.0017223104368895292,0.020701121538877487,0.9633662700653076
75.0,4425.0,0.000872393196914345,5.417282591224648e-05,0.001115349936299026,8.140085992636159e-05,5.039222287450684e-06,0.0007846485823392868,0.0018681365763768554,0.9952189326286316
75.0,4575.0,0.0023776746820658445,2.233320446975995e-05,0.00210925517603755,9.678747301222757e-05,7.133411600079853e-06,0.0007181469118222594,0.003210797905921936,0.9914578795433044
75.0,4725.0,0.0004847677191719413,0.000347507739206776,0.010180906392633915,0.0006191881839185953,5.330837666406296e-06,0.002715577371418476,0.015054699964821339,0.9705919623374939
75.0,4875.0,0.0020430234726518393,6.689093424938619e-05,0.0042770435102283955,0.0001707933988654986,1.0114248652826063e-05,0.0006907825591042638,0.008451743982732296,0.9842895865440369
75.0,5025.0,0.00045471839257515967,0.0002881183463614434,0.0063935816287994385,0.0004304125905036926,1.6050438716774806e-05,0.0025984705425798893,0.017339633777737617,0.9724789261817932
75.0,5175.0,0.00043834748794324696,3.379849295015447e-05,0.0009411261999048293,5.58062492928002e-05,5.635789875668706e-06,0.0010104805696755648,0.0020267930813133717,0.9954879879951477
75.0,5325.0,0.0010206461884081364,0.0001232530048582703,0.0025932081043720245,0.0004973260220140219,2.291104283358436e-05,0.0011134438682347536,0.005599097348749638,0.9890301823616028
